CMG,B Relative Weight,C Relative Weight,D Relative Weight,A Relative Weight,B Avg Length Of Stay,C Avg Length Of Stay,D Avg Length Of Stay,A Avg Length Of Stay
0101,0.8080,0.7077,0.6589,0.6304,10,9,9,8
0102,1.0165,0.8904,0.8290,0.7931,11,10,10,10
0103,1.1428,1.0010,0.9320,0.8916,12,13,12,11
0104,1.2349,1.0817,1.0071,0.9635,13,13,12,12
0105,1.4494,1.2696,1.1820,1.1309,14,15,14,14
0106,1.6160,1.4155,1.3179,1.2609,16,16,15,15
0107,1.8101,1.5855,1.4762,1.4122,18,17,17,17
0108,2.2978,2.0126,1.8739,1.7927,23,23,21,21
0109,2.0953,1.8353,1.7088,1.6348,21,20,19,19
0110,2.7602,2.4177,2.2511,2.1536,28,27,24,24
0201,0.8012,0.6584,0.5941,0.5613,9,9,8,8
0202,1.0535,0.8656,0.7812,0.7380,11,11,10,9
0203,1.2056,0.9906,0.8940,0.8445,11,13,10,11
0204,1.3292,1.0922,0.9856,0.9311,13,13,12,12
0205,1.5900,1.3064,1.1790,1.1138,15,16,14,13
0206,1.8962,1.5580,1.4060,1.3282,17,18,17,16
0207,2.5238,2.0737,1.8714,1.7679,30,24,20,19
0301,1.1171,0.9325,0.8551,0.7979,10,11,10,10
0302,1.3867,1.1576,1.0615,0.9906,13,13,12,12
0303,1.6159,1.3489,1.2370,1.1543,16,15,14,14
0304,2.1493,1.7942,1.6453,1.5353,22,20,18,17
0401,0.9696,0.8252,0.7557,0.6985,10,10,9,9
0402,1.4217,1.2100,1.1081,1.0242,14,14,13,13
0403,2.2684,1.9306,1.7679,1.6342,28,22,20,19
0404,3.9720,3.3805,3.0957,2.8615,47,37,33,34
0405,3.5415,3.0141,2.7602,2.5514,43,39,28,27
0501,0.8672,0.6911,0.6417,0.5890,9,7,8,8
0502,1.1393,0.9079,0.8430,0.7738,11,11,10,10
0503,1.4419,1.1491,1.0669,0.9794,14,13,13,12
0504,1.6555,1.3192,1.2249,1.1244,15,16,14,13
0505,1.9346,1.5417,1.4315,1.3140,19,17,16,16
0506,2.7197,2.1673,2.0123,1.8472,27,24,22,21
0601,1.0412,0.8216,0.7667,0.6928,10,10,9,9
0602,1.3339,1.0525,0.9822,0.8875,12,12,11,11
0603,1.6581,1.3083,1.2209,1.1031,15,14,13,13
0604,2.1767,1.7175,1.6028,1.4482,20,18,17,16
0701,0.9659,0.8088,0.7660,0.6958,11,9,9,9
0702,1.2529,1.0491,0.9936,0.9025,13,12,12,11
0703,1.5022,1.2579,1.1913,1.0821,14,14,14,13
0704,1.9534,1.6357,1.5492,1.4071,18,18,17,16
0801,0.8034,0.6328,0.5741,0.5302,8,8,7,7
0802,1.0561,0.8318,0.7547,0.6970,10,10,9,9
0803,1.4245,1.1220,1.0180,0.9401,13,13,12,11
0804,1.2739,1.0033,0.9103,0.8407,12,11,11,10
0805,1.5355,1.2094,1.0973,1.0134,15,14,12,12
0806,1.9083,1.5031,1.3637,1.2594,17,16,15,14
0901,0.9563,0.7692,0.7050,0.6426,10,9,9,8
0902,1.2714,1.0226,0.9372,0.8544,13,12,11,11
0903,1.5876,1.2770,1.1704,1.0669,15,14,13,13
0904,2.0060,1.6135,1.4788,1.3480,19,18,16,16
1001,1.0684,0.9367,0.8341,0.7526,11,11,10,10
1002,1.3349,1.1704,1.0421,0.9404,13,13,12,11
1003,1.9160,1.6798,1.4958,1.3497,18,19,17,16
1101,1.3933,1.3933,1.1068,1.0400,14,14,12,12
1102,1.8119,1.8119,1.4393,1.3524,16,20,15,16
1201,0.9863,0.9576,0.8720,0.8135,9,11,10,10
1202,1.2107,1.1755,1.0704,0.9986,12,14,13,12
1203,1.4934,1.4500,1.3203,1.2318,14,16,15,14
1301,1.1791,0.9716,0.9161,0.8365,9,11,10,10
1302,1.4946,1.2315,1.1612,1.0603,14,14,13,13
1303,1.9625,1.6171,1.5248,1.3923,21,18,16,16
1401,0.9069,0.7453,0.6740,0.6065,9,9,8,8
1402,1.2018,0.9877,0.8932,0.8037,11,11,11,10
1403,1.4475,1.1896,1.0757,0.9680,13,13,12,12
1404,1.8371,1.5098,1.3653,1.2286,17,17,15,14
1501,1.0526,0.8479,0.7807,0.7512,11,10,9,9
1502,1.3349,1.0754,0.9901,0.9527,12,12,11,11
1503,1.6150,1.3010,1.1978,1.1526,15,13,13,13
1504,2.0063,1.6163,1.4881,1.4319,21,17,15,15
1601,1.1376,0.8365,0.8218,0.7556,11,10,10,9
1602,1.4940,1.0985,1.0792,0.9923,14,13,12,12
1603,1.9109,1.4050,1.3803,1.2692,15,15,15,15
1701,1.0705,0.9081,0.8286,0.7711,10,10,11,9
1702,1.3897,1.1788,1.0756,1.0010,13,14,12,12
1703,1.5913,1.3498,1.2317,1.1463,19,15,14,14
1704,2.0891,1.7721,1.6169,1.5048,21,20,18,17
1801,1.2783,0.9685,0.8849,0.7874,14,12,11,10
1802,1.8807,1.4248,1.3019,1.1584,18,17,15,14
1803,3.0933,2.3435,2.1413,1.9054,32,27,22,21
1901,1.1826,1.0281,0.9998,0.8741,16,11,12,11
1902,2.2408,1.9481,1.8945,1.6563,26,22,21,20
1903,3.7479,3.2583,3.1687,2.7703,52,32,27,32
2001,0.9252,0.7603,0.7013,0.6348,9,9,9,8
2002,1.2002,0.9863,0.9097,0.8234,11,11,10,10
2003,1.4943,1.2280,1.1327,1.0253,14,14,13,12
2004,1.9243,1.5814,1.4586,1.3203,18,18,16,15
2101,1.7151,1.7151,1.3313,1.2915,18,18,15,15
5001,0.0000,0.0000,0.0000,0.1556,0,0,0,2
5101,0.0000,0.0000,0.0000,0.7236,0,0,0,8
5102,0.0000,0.0000,0.0000,1.6315,0,0,0,17
5103,0.0000,0.0000,0.0000,0.7734,0,0,0,8
5104,0.0000,0.0000,0.0000,1.9277,0,0,0,21
9999,0.0000,0.0000,0.0000,0.0000,0,0,0,0
